nodes,NLD
techs,wind_offshore
2024-01-01 00:00:00,0.9539
2024-01-01 01:00:00,0.9478
2024-01-01 02:00:00,0.9403
2024-01-01 03:00:00,0.9329
2024-01-01 04:00:00,0.9238
2024-01-01 05:00:00,0.9119
2024-01-01 06:00:00,0.9095
2024-01-01 07:00:00,0.9315
2024-01-01 08:00:00,0.9505
2024-01-01 09:00:00,0.9614
2024-01-01 10:00:00,0.964
2024-01-01 11:00:00,0.9638
2024-01-01 12:00:00,0.9648
2024-01-01 13:00:00,0.9627
2024-01-01 14:00:00,0.9583
2024-01-01 15:00:00,0.9516
2024-01-01 16:00:00,0.934
2024-01-01 17:00:00,0.9121
2024-01-01 18:00:00,0.8875
2024-01-01 19:00:00,0.8558
2024-01-01 20:00:00,0.8229
2024-01-01 21:00:00,0.7849
2024-01-01 22:00:00,0.7829
2024-01-01 23:00:00,0.8489
2024-01-02 00:00:00,0.9371
2024-01-02 01:00:00,0.9788
2024-01-02 02:00:00,0.99
2024-01-02 03:00:00,0.9902
2024-01-02 04:00:00,0.9782
2024-01-02 05:00:00,0.9381
2024-01-02 06:00:00,0.8985
2024-01-02 07:00:00,0.8701
2024-01-02 08:00:00,0.8732
2024-01-02 09:00:00,0.8481
2024-01-02 10:00:00,0.8273
2024-01-02 11:00:00,0.8391
2024-01-02 12:00:00,0.7908
2024-01-02 13:00:00,0.734
2024-01-02 14:00:00,0.7783
2024-01-02 15:00:00,0.866
2024-01-02 16:00:00,0.9259
2024-01-02 17:00:00,0.9116
2024-01-02 18:00:00,0.8792
2024-01-02 19:00:00,0.8096
2024-01-02 20:00:00,0.7456
2024-01-02 21:00:00,0.6586
2024-01-02 22:00:00,0.63
2024-01-02 23:00:00,0.6419
2024-01-03 00:00:00,0.725
2024-01-03 01:00:00,0.7397
2024-01-03 02:00:00,0.8097
2024-01-03 03:00:00,0.9307
2024-01-03 04:00:00,0.9764
2024-01-03 05:00:00,0.9851
2024-01-03 06:00:00,0.9779
2024-01-03 07:00:00,0.9609
2024-01-03 08:00:00,0.9362
2024-01-03 09:00:00,0.9068
2024-01-03 10:00:00,0.8676
2024-01-03 11:00:00,0.8193
2024-01-03 12:00:00,0.7687
2024-01-03 13:00:00,0.7225
2024-01-03 14:00:00,0.6852
2024-01-03 15:00:00,0.6572
2024-01-03 16:00:00,0.6347
2024-01-03 17:00:00,0.6261
2024-01-03 18:00:00,0.6352
2024-01-03 19:00:00,0.6454
2024-01-03 20:00:00,0.6524
2024-01-03 21:00:00,0.6558
2024-01-03 22:00:00,0.6554
2024-01-03 23:00:00,0.662
2024-01-04 00:00:00,0.6656
2024-01-04 01:00:00,0.6549
2024-01-04 02:00:00,0.6295
2024-01-04 03:00:00,0.5954
2024-01-04 04:00:00,0.5467
2024-01-04 05:00:00,0.4999
2024-01-04 06:00:00,0.4613
2024-01-04 07:00:00,0.4219
2024-01-04 08:00:00,0.3894
2024-01-04 09:00:00,0.3513
2024-01-04 10:00:00,0.2918
2024-01-04 11:00:00,0.2429
2024-01-04 12:00:00,0.2278
2024-01-04 13:00:00,0.2453
2024-01-04 14:00:00,0.2722
2024-01-04 15:00:00,0.2886
2024-01-04 16:00:00,0.327
2024-01-04 17:00:00,0.408
2024-01-04 18:00:00,0.5289
2024-01-04 19:00:00,0.6696
2024-01-04 20:00:00,0.769
2024-01-04 21:00:00,0.8418
2024-01-04 22:00:00,0.8865
2024-01-04 23:00:00,0.9118
2024-01-05 00:00:00,0.9273
2024-01-05 01:00:00,0.9339
2024-01-05 02:00:00,0.9382
2024-01-05 03:00:00,0.9417
2024-01-05 04:00:00,0.9303
2024-01-05 05:00:00,0.8885
2024-01-05 06:00:00,0.8062
2024-01-05 07:00:00,0.6963
2024-01-05 08:00:00,0.6397
2024-01-05 09:00:00,0.6235
2024-01-05 10:00:00,0.6322
2024-01-05 11:00:00,0.6699
2024-01-05 12:00:00,0.7115
2024-01-05 13:00:00,0.7386
2024-01-05 14:00:00,0.7667
2024-01-05 15:00:00,0.7812
2024-01-05 16:00:00,0.79
2024-01-05 17:00:00,0.8048
2024-01-05 18:00:00,0.8226
2024-01-05 19:00:00,0.835
2024-01-05 20:00:00,0.8378
2024-01-05 21:00:00,0.834
2024-01-05 22:00:00,0.8253
2024-01-05 23:00:00,0.81
