scenario,tech,electricity_sold_mwh,electricity_revenue_keur,incidental_opex_keur,annual_maintenance_keur,capex_upfront_proxy_keur,capex_annualized_proxy_keur_per_year
carbontax,battery_storage,0.0,0.0,0.0,,,
carbontax,fuel_cell,0.0,0.0,0.0,,,
carbontax,nld_to_big_user_line,0.0,0.0,0.0,,,
carbontax,wind_offshore,1273462.8192,32498.91831066615,0.0,,7037547.823799999,584316.9570857153
default,battery_storage,0.0,0.0,0.0,,0.0,0.0
default,fuel_cell,0.0,0.0,0.0,,,
default,nld_to_big_user_line,0.0,0.0,0.0,,,
default,wind_offshore,6472452.0,444127.768,0.0,,123838197.0,10282098.289592778
less_generation,battery_storage,0.0,0.0,0.0,,,
less_generation,fuel_cell,0.0,0.0,0.0,,,
less_generation,nld_to_big_user_line,0.0,0.0,0.0,,,
less_generation,wind_offshore,1273462.8192,216336.19099699246,0.0,,7037547.823799999,584316.9570857153
more_vres,battery_storage,0.0,0.0,0.0,,,
more_vres,fuel_cell,0.0,0.0,0.0,,,
more_vres,nld_to_big_user_line,0.0,0.0,0.0,,,
more_vres,wind_offshore,1600632.0,11819.533869965739,0.0,,8845585.5,734435.5921137698
surplus_to_battery,battery_storage,1883038.1634308733,46473.454167338066,4.102832708288308,,17400000.0,1680928.452741341
surplus_to_battery,fuel_cell,0.0,0.0,0.0,,,
surplus_to_battery,nld_to_big_user_line,0.0,0.0,0.0,,,
surplus_to_battery,wind_offshore,6472452.0,558039.14570276,0.0,,123838197.0,10282098.289592778
surplus_to_big_user,battery_storage,0.0,0.0,0.0,,0.0,0.0
surplus_to_big_user,fuel_cell,0.0,0.0,0.0,,,
surplus_to_big_user,nld_to_big_user_line,0.0,0.0,0.0,,,
surplus_to_big_user,wind_offshore,6472452.0,446972.9950005948,0.0,,123838197.0,10282098.289592778
surplus_to_big_user_two_nodes,battery_storage,0.0,0.0,0.0,,0.0,0.0
surplus_to_big_user_two_nodes,fuel_cell,0.0,0.0,0.0,,,
surplus_to_big_user_two_nodes,nld_to_big_user_line,0.0,0.0,0.0,,12.0,
surplus_to_big_user_two_nodes,wind_offshore,6472452.0,470187.7198748449,0.0,,123838197.0,10282098.289592778
surplus_to_hydrogen,battery_storage,0.0,0.0,0.0,,0.0,0.0
surplus_to_hydrogen,fuel_cell,0.0,0.0,0.0,,,
surplus_to_hydrogen,nld_to_big_user_line,0.0,0.0,0.0,,,
surplus_to_hydrogen,wind_offshore,6472452.0,446224.7054111725,0.0,,123838197.0,10282098.289592778
